"인천광역시","40~44세",129522,23654,123588,22633,119623,22493,115916,22006
"인천광역시","45~49세",139507,23421,141164,24067,142005,25235,140316,26049
"인천광역시","50~54세",146683,24027,141958,23750,139354,23971,139687,24729
"인천광역시","55~59세",130767,23889,140920,26227,145874,27963,148753,28902
"인천광역시","60~64세",82868,17298,93046,20303,100560,22616,110569,25769
"인천광역시","65~69세",59784,14726,60986,15428,64693,16810,67047,17877
"인천광역시","70~74세",45585,12913,46937,13640,48494,14210,51750,15267
"인천광역시","75~79세",32084,11152,34303,12047,38379,13401,40344,14121
"인천광역시","80~84세",17412,7412,19437,8221,21140,8949,23038,9675
"인천광역시","85세 이상",8994,4447,9920,4936,10962,5454,12248,6091
"광주광역시","합계",567157,163577,569372,165169,575732,171424,578559,174614
"광주광역시","15세미만",7,6,X,X,X,X,X,X
"광주광역시","15~19세",2412,2103,2605,2348,2547,2316,2388,2178
"광주광역시","20~24세",18276,14244,18237,14400,19036,15202,19355,15472
"광주광역시","25~29세",28054,18293,26514,17256,27360,17883,28473,18635
"광주광역시","30~34세",47428,19161,44064,17899,40632,17076,37480,16129
"광주광역시","35~39세",58420,14968,57558,14749,57731,15204,57689,15378
"광주광역시","40~44세",71665,14558,67497,13611,65261,13709,62219,13130
"광주광역시","45~49세",75428,13796,75953,13997,76489,14641,74718,14590
"광주광역시","50~54세",69327,12907,69300,12923,69758,13428,70608,13805
"광주광역시","55~59세",61135,12956,65376,14127,66955,14992,68382,15387
"광주광역시","60~64세",41288,9585,44176,10850,47077,11968,50523,13128
"광주광역시","65~69세",32860,8568,34040,9186,34865,9702,35056,9984
"광주광역시","70~74세",26743,8046,26910,8193,26980,8274,28261,8796
"광주광역시","75~79세",18736,7060,20275,7593,22828,8412,23644,8701
"광주광역시","80~84세",10184,4546,11163,4941,12218,5452,13238,5908
"광주광역시","85세 이상",5194,2780,5701,3093,5994,3165,6525,3393
"대전광역시","합계",582504,169391,590698,179605,597736,188136,602175,195544
"대전광역시","15세미만",X,X,X,X,X,X,X,X
"대전광역시","15~19세",5070,4869,5226,5047,5186,5034,4960,4827
"대전광역시","20~24세",27762,24058,28931,25545,29868,26512,30611,27282
"대전광역시","25~29세",31286,21141,32689,23119,34733,24590,36818,26409
"대전광역시","30~34세",47087,17475,45210,17963,43234,18042,41391,18323
"대전광역시","35~39세",56351,12971,56364,13583,56727,14268,56170,14685
"대전광역시","40~44세",68708,12864,64488,12554,61989,12527,59002,12354
"대전광역시","45~49세",73880,12518,75365,13129,75002,13743,73001,14005
"대전광역시","50~54세",71372,12405,68356,12343,67299,12543,68615,12961
"대전광역시","55~59세",65453,13015,69194,14241,70463,15114,70610,15420
"대전광역시","60~64세",44912,9817,49770,11577,52757,12845,56032,14330
"대전광역시","65~69세",32367,8067,33535,8703,35467,9579,36183,10003
"대전광역시","70~74세",25499,7339,25819,7627,25627,7681,26936,8172
"대전광역시","75~79세",18017,6159,19242,6638,21517,7523,22289,7869
"대전광역시","80~84세",9950,4264,11133,4771,12054,5136,13066,5544
"대전광역시","85세 이상",4790,2429,5373,2764,5811,2998,6487,3358
"울산광역시","합계",423412,103551,426027,104856,428720,107497,431391,110236
"울산광역시","15세미만",X,X,X,X,X,X,X,X
"울산광역시","15~19세",687,611,590,525,505,449,471,417
"울산광역시","20~24세",6752,5096,6176,4645,5880,4458,5807,4453
"울산광역시","25~29세",16628,10019,16481,10096,16407,10174,16473,10313
"울산광역시","30~34세",36132,11809,33313,11056,30437,10293,28043,9868
"울산광역시","35~39세",44537,9828,45552,9836,45765,10039,45177,10082
"울산광역시","40~44세",51123,10071,48158,9490,46763,9342,45357,9174
"울산광역시","45~49세",59657,10045,58476,10094,57230,10510,55279,10624
"울산광역시","50~54세",61564,10118,60257,10019,59221,10048,59311,10343
"울산광역시","55~59세",53489,10255,57166,10918,59349,11464,60278,11687
"울산광역시","60~64세",35548,7746,38926,8851,41586,9715,44942,10693
"울산광역시","65~69세",23082,5697,24933,6298,26856,6958,28136,7375
"울산광역시","70~74세",16056,4757,16266,4896,16907,5071,18383,5561
"울산광역시","75~79세",10442,3827,11245,4116,12632,4618,13719,4955
"울산광역시","80~84세",5321,2351,5829,2568,6344,2826,6855,3011
"울산광역시","85세 이상",2394,1321,2655,1445,2837,1531,3160,1680
"세종특별자치시","합계",75219,21889,90413,27683,104325,31472,119029,35763
"세종특별자치시","15세미만",X,X,X,X,X,X,X,X
"세종특별자치시","15~19세",704,687,931,911,945,916,947,919
"세종특별자치시","20~24세",4416,4003,6018,5595,6005,5523,6483,5953
"세종특별자치시","25~29세",4393,3045,5728,4135,6718,4748,7718,5330
"세종특별자치시","30~34세",7728,2353,9060,2918,10221,3558,11590,4152
"세종특별자치시","35~39세",10001,1752,12466,2204,15016,2816,17542,3365
"세종특별자치시","40~44세",10792,1630,12458,1889,14530,2183,16329,2544
"세종특별자치시","45~49세",8402,1480,10882,1955,13185,2256,15202,2544
"세종특별자치시","50~54세",7004,1370,8007,1643,9267,1929,11029,2297
"세종특별자치시","55~59세",6306,1332,7546,1606,8831,1960,10088,2287
